sku,shopify_status,inventory_quantity,variant_id,product_id,product_handle,product_title,sibling_variant_count,siblings_still_in_laura
1000-308,archived,0,47931514257662,9158526927102,1000-308,סט מצעים למיטת תינוק מאזלין פטריות,1,0
1000-314,active,10,47931514421502,9158527058174,1000-314,סט מצעים למיטת תינוק קורדורוי Little chick,1,0
1000-271,archived,0,47931512815870,9158526664958,1000-271,סט מצעים למיטת תינוק קורדורוי עלים,1,0
1000-250,archived,0,47931512586494,9158526468350,1000-250,סט מצעים למיטת תינוק שלכת,1,0
1000-296,active,0,47931512979710,9158526828798,1000-296,סט מצעים למיטת תינוק תחרה לבנה,1,0
1001-285,active,0,47931515830526,9158528237822,1001-285,סט מצעים לעריסה עם כרית נחשוש Elephant,1,0
1001-286,active,0,47931515863294,9158528270590,1001-286,סט מצעים לעריסה עם כרית נחשוש Hot Air Balloon,1,0
1001-283,active,0,47931515732222,9158528139518,1001-283,סט מצעים לעריסה עם כרית נחשוש Spring,1,0
1001-284,active,0,47931515764990,9158528172286,1001-284,סט מצעים לעריסה עם כרית נחשוש Teddy,1,0
1001-288,active,0,47931515928830,9158528336126,1001-288,סט מצעים לעריסה עם כרית נחשוש קלועה TOYS,1,0
1001-294,active,0,47931516092670,9158528499966,1001-294,סט מצעים לעריסה עם כרית נחשוש קלועה מאזלין ארנב בז',1,0
1001-287,archived,0,47931515896062,9158528303358,1001-287,סט מצעים לעריסה עם כרית נחשוש קלועה פרחים רקומים,1,0
1001-281,active,0,47931515699454,9158528106750,1001-281,סט מצעים לעריסה עם נחשוש קלוע Sea Life,1,0
1001-269,active,0,47931515502846,9158527910142,1001-269,סט מצעים לעריסה עם נחשוש קלוע קורדורוי Rocking horse,1,0
1001-170,archived,0,47931515207934,9158527680766,1001-170,סט עריסה אפרוחים מודפס,1,0
1001-289,archived,0,47931515994366,9158528401662,1001-289,סט עריסה עם כרית נחשוש קלועה ג'קארד חום,1,0
1001-265,active,0,47931515470078,9158527877374,1001-265,סט עריסה עם כרית נחשוש קלועה מאזלין ארנב,1,0
1001-169,archived,0,47931515175166,9158527647998,1001-169,סט עריסה פינגווין מודפס,1,0
3100-080,active,0,47931662139646,9158582698238,3100-080,סינר הנקה טטרא בז' cozy,1,0
3100-079,active,0,47931661910270,9158582632702,3100-079,סינר הנקה טטרא ורוד cozy,1,0
1700-100,archived,0,47931587559678,9158552223998,1700-100,סל כביסה טטרא בז',1,0
1700-101,archived,0,47931587821822,9158552322302,1700-101,סל כביסה טטרא לבן,1,0
3301-077,archived,0,47931663679742,9158583746814,3301-077,ספרון טקסטיק תות,1,0
2806-023,active,10,47931654635774,9158580273406,2806-023,ערכת טיפוח Bee,1,0
1604-088,archived,0,47931583365374,9158551175422,1604-088,"ציפה לשמיכה 100*150 ס""מ ג'רזי אבן mountain",1,0
1604-141,active,0,47996670148862,9173334360318,ציפית-לכרית-elephant,ציפית לכרית Elephant,2,1
1604-142,active,0,47996670804222,9173334425854,ציפית-לכרית-hot-air-balloon,ציפית לכרית Hot air balloon,2,1
1604-135,active,10,47996667298046,9173333803262,ציפית-לכרית-spring,ציפית לכרית Spring,2,0
1604-139,active,0,47996667330814,9173333803262,ציפית-לכרית-spring,ציפית לכרית Spring,2,0
1604-136,archived,0,47996667429118,9173333868798,ציפית-לכרית-teddy-bear,ציפית לכרית Teddy bear,2,0
1604-140,archived,0,47996667461886,9173333868798,ציפית-לכרית-teddy-bear,ציפית לכרית Teddy bear,2,0
1604-131,active,0,47996666609918,9173333508350,ציפית-לכרית-אופוואיט-cozy,ציפית לכרית אופוואיט COZY,2,1
1604-144,active,0,47996670869758,9173334458622,ציפית-לכרית-אפור-cozy,ציפית לכרית אפור COZY,2,1
1604-132,active,0,47996666773758,9173333606654,ציפית-לכרית-בז-cozy,ציפית לכרית בז' COZY,2,1
1604-133,active,0,47996666839294,9173333639422,ציפית-לכרית-ורוד-cozy,ציפית לכרית ורוד COZY,2,1
1604-134,active,0,47996667199742,9173333737726,ציפית-לכרית-תכלת-cozy,ציפית לכרית תכלת COZY,2,1
1906-032,archived,0,47931597586686,9158555009278,1906-032,צפי צף עלים כחולים,1,0
1906-031,archived,0,47931597095166,9158554845438,1906-031,צפי צף פרפרים ורודים,1,0
2802-052,archived,0,47931650539774,9158578667774,2802-052,רגלית בודד ריב בז',1,0
3203-019,active,10,47931663319294,9158583419134,3203-019,ריפודית ומגן לסל קל שחור טטרא חלק,1,0
2401-011,archived,0,47931608203518,9158561366270,2401-011,"שטיח עגול לחדר ילדים 160 ס""מ נקודות שחור",1,0
2700-113,active,0,47931635204350,9158574440702,2700-113,"שישיית חיתולי טטרא 70*70 ס""מ ניוד",1,0
2700-114,active,0,47931635433726,9158574506238,2700-114,"שישיית חיתולי טטרא 70*70 ס""מ תכלת",1,0
2702-081,archived,0,47931637432574,9158574932222,2702-081,שלישיית חיתולי טריקו 70*70 ורדים,1,0
1302-210,archived,0,47931544928510,9158540624126,1302-210,שמיכה לעריסה/עגלה מודפס פינגווין,1,0
1300-079,archived,0,47931543421182,9158540198142,1300-079,"שמיכה קטיפתית חלקה mountain בז' 80/120 ס""מ",1,0
3300-067,archived,0,47931663515902,9158583582974,3300-067,שמיכי איילה,1,0
1301-069,archived,0,47931543879934,9158540329214,1301-069,"שמיכת טטרא 100*75 ס""מ GOOD VIBES ורוד",1,0
1301-102,archived,0,47931544535294,9158540558590,1301-102,שמיכת טטרא עם פרנזים 75/100 בז',1,0
1301-101,archived,0,47931544469758,9158540493054,1301-101,שמיכת טטרא עם פרנזים 75/100 לבן,1,0
1302-213,active,10,47931545190654,9158540722430,1302-213,"שמיכת טריקו 100X75 ס""מ פרפרים ורודים",1,0
1302-235,archived,0,47931547648254,9158541377790,1302-235,"שמיכת טריקו עם מילוי 75/100 ס""מ Space",1,0
1302-259,archived,0,47931549384958,9158541803774,1302-259,"שמיכת טריקו עם מילוי 75/100 ס""מ מאזלין ארנב",1,0
1302-260,archived,0,47931549614334,9158541869310,1302-260,"שמיכת טריקו עם מילוי 75/100 ס""מ מאזלין ארנב בז'",1,0
1302-248,active,0,47931548500222,9158541574398,1302-248,שמיכת טריקו עם מילוי 75X100 Sea Life,1,0
1302-250,archived,0,47931548958974,9158541705470,1302-250,שמיכת טריקו עם מילוי TOYS,1,0
1302-249,archived,0,47931548729598,9158541639934,1302-249,שמיכת טריקו עם מילוי פרחים רקומים,1,0
1306-032,draft,0,47931551252734,9158542229758,1306-028,שמיכת פלנל משובצת mountain תכלת,2,1
1400-127,archived,0,47931552596222,9158542557438,1400-127,שק טיטולים ג'קארד בז',1,0
